,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Review,neg,neu,pos,compound,Polarity
0,0,0,0,0,0,0,0,0,0,0,0,good but need updates and improvements,0.0,0.449,0.551,0.5994,0.5994
1,1,1,1,1,1,1,1,1,1,1,1,worst mobile have bought ever battery draining like hell backup only hours with internet uses even put mobile idle its getting discharged.this biggest lie from amazon lenove which not all expected they are making full saying that battery 4000mah booster charger fake takes least hours fully charged.do n't know how lenovo will survive making full us.please don for this else you will regret like,0.152,0.779,0.07,-0.872,-0.872
2,2,2,2,2,2,2,2,2,2,2,2,when will get cash back .... its already january,0.0,1.0,0.0,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,good,0.0,0.0,1.0,0.4404,0.4404
4,4,4,4,4,4,4,4,4,4,4,4,the worst phone everthey have changed the last phone but the problem still same and the amazon not returning the phone .highly disappointing amazon,0.293,0.596,0.111,-0.8289,-0.8289
5,5,5,5,5,5,5,5,5,5,5,5,only telling n't buyi totally disappointedpoor batterypoor camerawaste money,0.0,1.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,phone awesome but while charging heats allot really genuine reason hate lenovo note,0.223,0.664,0.113,-0.5423,-0.5423
7,7,7,7,7,7,7,7,7,7,7,7,the battery level has worn down,0.306,0.694,0.0,-0.296,-0.296
8,8,8,8,8,8,8,8,8,8,8,8,over hitting problems ... and phone hanging problems lenovo note ... where service station ahmedabad one years warranty can change the phone lenovo,0.094,0.906,0.0,-0.4019,-0.4019
9,9,9,9,9,9,9,9,9,9,9,9,lot glitches dont buy this thing better for some other options,0.0,0.805,0.195,0.4404,0.4404
10,10,10,10,10,10,10,10,10,10,10,10,wrost,0.0,1.0,0.0,0.0,0.0
11,11,11,11,11,11,11,11,11,11,11,11,good phone but charger not working damage within months,0.0,0.565,0.435,0.6588,0.6588
12,12,12,12,12,12,12,12,12,12,12,12,n't purchase this item much heating battery life very poor,0.195,0.805,0.0,-0.5256,-0.5256
13,13,13,13,13,13,13,13,13,13,13,13,have faced the battery problem and motherboard problem with months this the worst mobile life,0.373,0.627,0.0,-0.8591,-0.8591
14,14,14,14,14,14,14,14,14,14,14,14,very good phone slim good battry backup good screen love,0.0,0.337,0.663,0.9297,0.9297
15,15,15,15,15,15,15,15,15,15,15,15,headset not available,0.0,1.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,every time automatic and off kindly suggest what can,0.0,0.745,0.255,0.6269,0.6269
17,17,17,17,17,17,17,17,17,17,17,17,"best product according their prize range and specification comparison another mobile under range and had bought this phone during amazon seal had paid only 10,999 but have also hdpf credit card which was paid only 9998 for ... was the best deal ever which done amazon",0.0,0.776,0.224,0.936,0.936
18,18,18,18,18,18,18,18,18,18,18,18,battery draining very rapidly n't know why tell possible solutions for battery life,0.0,0.876,0.124,0.1779,0.1779
19,19,19,19,19,19,19,19,19,19,19,19,good smartphone,0.0,0.256,0.744,0.4404,0.4404
20,20,20,20,20,20,20,20,20,20,20,20,good,0.0,0.0,1.0,0.4404,0.4404
21,21,21,21,21,21,21,21,21,21,21,21,galery problem and there not atmos speakernormal speaker this phone,0.197,0.803,0.0,-0.4019,-0.4019
22,22,22,22,22,22,22,22,22,22,22,22,excellent camera excellent speed.excellent features.excelent battery,0.0,0.351,0.649,0.8126,0.8126
23,23,23,23,23,23,23,23,23,23,23,23,good product,0.0,0.282,0.718,0.6249,0.6249
24,24,24,24,24,24,24,24,24,24,24,24,not very good product camera are very poor ... not good ... battery draining very quickly ... like odinary phone was fully unexpected product from lenovo,0.207,0.793,0.0,-0.7198,-0.7198
25,25,25,25,25,25,25,25,25,25,25,25,does not have many options like cast screen with without wifi call recording option available does n't even connect mobile hotspot,0.0,0.82,0.18,0.5248,0.5248
26,26,26,26,26,26,26,26,26,26,26,26,they have not gave with phone usb cable,0.0,1.0,0.0,0.0,0.0
27,27,27,27,27,27,27,27,27,27,27,27,awesome phone this price and this second mobile from lenovo fast and display has been improved,0.0,0.725,0.275,0.802,0.802
28,28,28,28,28,28,28,28,28,28,28,28,the best specifications with worst functions ... the worst phone any1 can ever buy,0.336,0.492,0.172,-0.6124,-0.6124
29,29,29,29,29,29,29,29,29,29,29,29,bouth this fon but surprised see that this fon has two speekars but only one ringing other non ringing disappointed,0.151,0.764,0.085,-0.4215,-0.4215
30,30,30,30,30,30,30,30,30,30,30,30,good phone but there some issue displaying colors screen,0.0,0.849,0.151,0.2382,0.2382
31,31,31,31,31,31,31,31,31,31,31,31,before the new update 8.0 oreo worked superbly the battery back-up also superb and there not that much heating problem ... but ... after that update phone got heating simply battery also draining unnecessarily ... really very much disappointed after that update 8.0 oreo ... ðÿ˜ ðÿ˜ â˜¹ï¸,0.068,0.856,0.076,0.1174,0.1174
32,32,32,32,32,32,32,32,32,32,32,32,not good one dual sim are not working poor customer service,0.172,0.645,0.183,0.0382,0.0382
33,33,33,33,33,33,33,33,33,33,33,33,good performance but the battery gets oveheated,0.0,0.755,0.245,0.2382,0.2382
34,34,34,34,34,34,34,34,34,34,34,34,best camera and better backup very bestin this pricefull passa wasole phone,0.0,0.608,0.392,0.7964,0.7964
35,35,35,35,35,35,35,35,35,35,35,35,wonderful best phone,0.0,0.112,0.888,0.836,0.836
36,36,36,36,36,36,36,36,36,36,36,36,bad performance signal goes off frequently mobile restarts whenever feels like phone bcoms hot while charging plzz dont buy,0.14,0.76,0.1,-0.25,-0.25
37,37,37,37,37,37,37,37,37,37,37,37,best all round performance ever,0.0,0.455,0.545,0.6988,0.6988
38,38,38,38,38,38,38,38,38,38,38,38,purchasing this have loosed rs.3000 within span days trust worthy deals from amazon,0.088,0.598,0.315,0.6908,0.6908
39,39,39,39,39,39,39,39,39,39,39,39,not worth big disappointment from lenovo signal problems big headache problems with incoming calls and always show that you are not range,0.341,0.659,0.0,-0.8543,-0.8543
40,40,40,40,40,40,40,40,40,40,40,40,best phone this rate camera quality too good,0.0,0.53,0.47,0.7964,0.7964
41,41,41,41,41,41,41,41,41,41,41,41,works very well,0.0,0.556,0.444,0.3384,0.3384
42,42,42,42,42,42,42,42,42,42,42,42,amazing product very good mobile lower price good features,0.122,0.332,0.547,0.8268,0.8268
43,43,43,43,43,43,43,43,43,43,43,43,very good mobile this price good quality camera and fast for using,0.0,0.697,0.303,0.7264,0.7264
44,44,44,44,44,44,44,44,44,44,44,44,after using only 3-4 mins continuously get heated.camera quality also not good,0.156,0.844,0.0,-0.3412,-0.3412
45,45,45,45,45,45,45,45,45,45,45,45,worst phone have ever purchased bigggggggest charging issue,0.369,0.631,0.0,-0.6249,-0.6249
46,46,46,46,46,46,46,46,46,46,46,46,poor,1.0,0.0,0.0,-0.4767,-0.4767
47,47,47,47,47,47,47,47,47,47,47,47,purchased first sell but charging phone very slow its take around full charge .....,0.0,1.0,0.0,0.0,0.0
48,48,48,48,48,48,48,48,48,48,48,48,ekdam bakwaaaasssdo n't buy network problem permanent lenovo and camera quality very lowbattery performance also very lowpls n't buy,0.109,0.891,0.0,-0.4019,-0.4019
49,49,49,49,49,49,49,49,49,49,49,49,good phone,0.0,0.256,0.744,0.4404,0.4404
50,50,50,50,50,50,50,50,50,50,50,50,nice performance with 4gb and 64gb inbuilt memory,0.0,0.741,0.259,0.4215,0.4215
51,51,51,51,51,51,51,51,51,51,51,51,superb featurs good battery loved this phoneðÿ˜ðÿ˜,0.0,0.268,0.732,0.8979,0.8979
52,52,52,52,52,52,52,52,52,52,52,52,value for money,0.0,0.455,0.545,0.34,0.34
53,53,53,53,53,53,53,53,53,53,53,53,nice,0.0,0.0,1.0,0.4215,0.4215
54,54,54,54,54,54,54,54,54,54,54,54,this very beautiful and good looking this lenovo,0.0,0.521,0.479,0.8104,0.8104
55,55,55,55,55,55,55,55,55,55,55,55,bluetooth problem while connecting bluetooth speaker audio breakups were happened heating problem while see you youtube half hour,0.221,0.779,0.0,-0.6597,-0.6597
56,56,56,56,56,56,56,56,56,56,56,56,good phone but heating problem exists but better choice,0.205,0.461,0.334,0.3071,0.3071
57,57,57,57,57,57,57,57,57,57,57,57,battery standby problem,0.574,0.426,0.0,-0.4019,-0.4019
58,58,58,58,58,58,58,58,58,58,58,58,nice mobile long battery back really killer camera and jet speed run any apps.ðÿ œðÿ,0.215,0.654,0.131,-0.4201,-0.4201
59,59,59,59,59,59,59,59,59,59,59,59,amazing product,0.0,0.208,0.792,0.5859,0.5859
60,60,60,60,60,60,60,60,60,60,60,60,good,0.0,0.0,1.0,0.296,0.296
61,61,61,61,61,61,61,61,61,61,61,61,not described screen cast n't work with miracast and fast charging take upto 2.15 hours contacts vcf files only download with google drive not card total disappointed,0.091,0.909,0.0,-0.4767,-0.4767
62,62,62,62,62,62,62,62,62,62,62,62,this the device for average usage battery could not last for day the biggest con this phone its battery though has 4000 mah battery but drains very fast camera quality good not very good specially depth enabled mode focus not perfect the thing like most about this device display,0.059,0.78,0.161,0.7878,0.7878
63,63,63,63,63,63,63,63,63,63,63,63,good,0.0,0.0,1.0,0.4404,0.4404
64,64,64,64,64,64,64,64,64,64,64,64,india werorst mobile battery fully charged offer hour using 100 network signals full but incoming calls out coverage area.lenovo cheating people,0.205,0.795,0.0,-0.7541,-0.7541
65,65,65,65,65,65,65,65,65,65,65,65,nice mobile,0.0,0.263,0.737,0.4215,0.4215
66,66,66,66,66,66,66,66,66,66,66,66,mobile good this range but battery backup not the mark weight also very high ....,0.0,0.897,0.103,0.2382,0.2382
67,67,67,67,67,67,67,67,67,67,67,67,good have this price point,0.0,0.707,0.293,0.4404,0.4404
68,68,68,68,68,68,68,68,68,68,68,68,improve camera new update slow added and heating issue now but still need system updated system updates are very slow,0.063,0.861,0.076,0.09,0.09
69,69,69,69,69,69,69,69,69,69,69,69,superb,0.0,0.0,1.0,0.6249,0.6249
70,70,70,70,70,70,70,70,70,70,70,70,excellent mobile phone,0.0,0.351,0.649,0.5719,0.5719
71,71,71,71,71,71,71,71,71,71,71,71,very very good product and its really fast,0.0,0.668,0.332,0.5379,0.5379
72,72,72,72,72,72,72,72,72,72,72,72,fast delivery ... but mobile not worth rs.10000 gestures latest features ... heating issues ... better choose other brands,0.212,0.618,0.17,0.0132,0.0132
73,73,73,73,73,73,73,73,73,73,73,73,best mobile.great specifications .camera too cleare focus too sharp and fast thanks amazon and lenovo for such mobile.must buy guys,0.0,0.683,0.317,0.8316,0.8316
74,74,74,74,74,74,74,74,74,74,74,74,verigood verigood.best,0.0,1.0,0.0,0.0,0.0
75,75,75,75,75,75,75,75,75,75,75,75,firstly product not delivered time dissatisfied weeks.secondly android 7.1.1 naugat does n't have call recording optionthirdly when selling product cost was 13999/- now why drastically dropped 10999/-fourthly when talking over the phone feels like nerve pulling much radiation need immediate fix this matter safety and security customer.fifthly any issues hardware issues please let know the service centers location and please ensure hardware availability should there any time when customers booked.finally discribed about product all features are issues found mentioned earlier call recording option would have added the this product would have been met the expectations.camera quality good not bad snap attached,0.036,0.785,0.179,0.9449,0.9449
76,76,76,76,76,76,76,76,76,76,76,76,excellent product,0.0,0.213,0.787,0.5719,0.5719
77,77,77,77,77,77,77,77,77,77,77,77,nice amazing,0.0,0.0,1.0,0.765,0.765
78,78,78,78,78,78,78,78,78,78,78,78,the device restarts automatically .....,0.0,1.0,0.0,0.0,0.0
79,79,79,79,79,79,79,79,79,79,79,79,bought this product recently from amazon thoroughly dissatisfied with the phone thumbs down for this one,0.156,0.753,0.091,-0.2944,-0.2944
80,80,80,80,80,80,80,80,80,80,80,80,really killer,0.821,0.179,0.0,-0.6801,-0.6801
81,81,81,81,81,81,81,81,81,81,81,81,hello all before you purchase remember battery performance this device very very poor check the picture attached there was use from hours sleeping and make sure data was off still see battery draining idle mode really bad performanc and this super turbo charger they calling waste its below thn average charger really disappointed.i have just raised return request.pros rest all good.cameradesignperformance etc,0.158,0.763,0.079,-0.7403,-0.7403
82,82,82,82,82,82,82,82,82,82,82,82,wrest phone hang problem,0.351,0.649,0.0,-0.4019,-0.4019
83,83,83,83,83,83,83,83,83,83,83,83,happy with the product â˜ºï¸ðÿ™‚,0.0,0.519,0.481,0.5719,0.5719
84,84,84,84,84,84,84,84,84,84,84,84,very bad product lots malfunction donot take this product,0.296,0.704,0.0,-0.5849,-0.5849
85,85,85,85,85,85,85,85,85,85,85,85,the look and sleekness this phone good but the features this phone very less this phone does n't have the basic features like sound controler option shortcut shutter and most importantly there voice call recorder and the camera quality also not good average performance,0.082,0.735,0.183,0.7808,0.7808
86,86,86,86,86,86,86,86,86,86,86,86,third class phone this time lenovo disappointed have and note bought note without any kind thinking and disappointed stucks anytime without any load ram battery also third class defuces very short time and turbo charge works sometimes but most the time works normal charger.gallery and many othet apps are n't available has stock android best thing often shows that process.android.com stopped workingwhat the,0.073,0.861,0.066,0.3291,0.3291
87,87,87,87,87,87,87,87,87,87,87,87,with the product but the problem was gets shut down while charging,0.207,0.7,0.093,-0.4497,-0.4497
88,88,88,88,88,88,88,88,88,88,88,88,love lenovo note handset but replace times turbo charger allahabad service centre within month becomes turbo charging slow charging plz lenovo fix request,0.0,0.865,0.135,0.4678,0.4678
89,89,89,89,89,89,89,89,89,89,89,89,really good buy,0.0,0.484,0.516,0.4927,0.4927
90,90,90,90,90,90,90,90,90,90,90,90,great features,0.0,0.196,0.804,0.6249,0.6249
91,91,91,91,91,91,91,91,91,91,91,91,gift raping very poorwords also very small please refund money for that work,0.244,0.609,0.147,-0.4404,-0.4404
92,92,92,92,92,92,92,92,92,92,92,92,personally n't recommend buy this product anyone want connect over cast screen option option available but not compatible with any other device other than chromecast for casting though was available for other model lenovo phone,0.036,0.937,0.027,-0.104,-0.104
93,93,93,93,93,93,93,93,93,93,93,93,good,0.0,0.0,1.0,0.4404,0.4404
94,94,94,94,94,94,94,94,94,94,94,94,you are looking for mid range phone can for this features are pretty good but some small problems arises now and then ignored then worth the money,0.172,0.66,0.169,-0.2732,-0.2732
95,95,95,95,95,95,95,95,95,95,95,95,sim slot was not working returned and got fast delivery too giving star bcz lenovo fan and just love mobile the best mobile this year get hot less time but guess ignore bcz the phone v.good and with lots good features and killer look too,0.132,0.686,0.182,0.1426,0.1426
96,96,96,96,96,96,96,96,96,96,96,96,worst for gaming and music bought this for the deca core processor has but works worse than quad core processed phone and said has speakers but one them left does n't have speaker just holes cheat buyers decent camera and display battery could made better and the ram keeps working for even while the phone not use,0.136,0.815,0.049,-0.7814,-0.7814
97,97,97,97,97,97,97,97,97,97,97,97,really awsome,0.0,1.0,0.0,0.0,0.0
98,98,98,98,98,98,98,98,98,98,98,98,there heating and battery backup problem,0.31,0.69,0.0,-0.4019,-0.4019
